split,task,seed,controller,mean_compute_us,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
heldout,gain_resource_shift,1005,uniform,29.26959375,0.33048765743955916,0.08643946869283921,11.159999999999997,0,,5,5,0.0,,,-0.023426993071210184,-0.08392035309763544,0.9999576336624791,0.9997795475211191,False
heldout,gain_resource_shift,1006,uniform,72.39882291666667,0.3245131601122787,0.08624350876870701,10.305,0,,5,5,0.0,,,-0.01649063861649827,-0.07393090250837848,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1007,uniform,21.8090625,0.3237671961392088,0.08604523275683346,10.305,0,,5,5,0.0,,,-0.0164088405931557,-0.06988006919795195,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1008,uniform,23.80860416666667,0.31986199818475936,0.08409431915350551,9.735,0,,5,5,0.0,,,-0.02118229486325357,-0.10656441285671067,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1009,uniform,31.124364583333332,0.32968839215872364,0.08736676834292528,11.160000000000002,0,,5,5,0.0,,,-0.023585169285925106,-0.08610478572422832,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1010,uniform,22.61010416666667,0.33472823728047263,0.08687619648434346,12.299999999999999,0,,5,5,0.0,,,-0.025971593907258006,-0.07502561918404489,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1011,uniform,22.19925,0.3307985032446337,0.08741456661791668,11.160000000000002,0,,5,5,0.0,,,-0.028437274150912406,-0.10555286219896498,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1012,uniform,24.87002083333333,0.32620949933599835,0.08655234287917846,10.589999999999998,0,,5,5,0.0,,,-0.016168668244925966,-0.06510994215729425,0.9999576336624791,0.9997795475211191,False
heldout,gain_resource_shift,1013,uniform,25.036625,0.3197588232371741,0.08505465898086491,9.735,0,,5,5,0.0,,,-0.01660875532752598,-0.08724892923256067,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1014,uniform,18.998739583333332,0.3335492498510675,0.08684586603966969,11.729999999999999,0,,5,5,0.0,,,-0.030886066217764102,-0.10087199405013925,0.9999576336624791,0.9997795475211191,False
heldout,gain_resource_shift,1015,uniform,20.37746875,0.3238859477618206,0.08627014480790525,10.305,0,,5,5,0.0,,,-0.01954354276686396,-0.08579625454106804,0.9999576336624791,0.9997795475211192,False
