seed,family,topology,resource,mode,loss,cost,post_switch_loss,return_loss,saturation,violations,runtime_seconds
901036,congestion,absent,ample,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.014690395999991779
901036,congestion,absent,scarce,full,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.018739461001018753
901036,congestion,absent,scarce,no_K,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.018714792000423586
901036,congestion,absent,scarce,no_W,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.018529335999801333
901036,congestion,absent,scarce,no_WK,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.018768858000271393
901036,congestion,absent,scarce,retuned_zero,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.0184758769992186
901036,congestion,absent,scarce,rewired,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.019282548000774113
901036,congestion,absent,scarce,reverse,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.0186313229995676
901036,congestion,absent,scarce,generic_nonlinear,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.01678473999936614
901036,congestion,absent,scarce,generic_equivalent,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.01623905899964484
901036,congestion,absent,scarce,signed_intensity,0.021253700724804134,0.3866326930863978,0.030721272012439373,8.343993888956862e-05,0.03125,0,0.035833356000125605
901036,congestion,absent,scarce,gradient,0.02132826472608234,0.38706542549609724,0.03110561443806975,0.0002687211938326321,0.03125,0,0.016310002000182067
901036,congestion,absent,scarce,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.014975109000147313
901037,linear,aligned,ample,full,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.018965817001003415
901037,linear,aligned,ample,no_K,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.018770789999734916
901037,linear,aligned,ample,no_W,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.01916597400054343
901037,linear,aligned,ample,no_WK,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.019196360000250934
901037,linear,aligned,ample,retuned_zero,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.019652812999538583
901037,linear,aligned,ample,rewired,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.01857711799993922
901037,linear,aligned,ample,reverse,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.018420871000444095
901037,linear,aligned,ample,generic_nonlinear,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.017032001999950808
901037,linear,aligned,ample,generic_equivalent,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.0241308350006193
901037,linear,aligned,ample,signed_intensity,0.0031366925468865312,0.3879141640631381,0.006762885571011511,0.0010110401070517832,0.03125,0,0.029605514000309086
901037,linear,aligned,ample,gradient,0.005199981490746438,0.39053717286802353,0.016140910212713622,0.0028109617939054837,0.03125,0,0.015725513998859242
901037,linear,aligned,ample,zero_negative,0.2149777016960649,0.0,0.24786031142223053,0.19378997716554863,1.0,0,0.014805693999051073
901037,linear,aligned,scarce,full,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.019117153000252074
901037,linear,aligned,scarce,no_K,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.018948145998933796
901037,linear,aligned,scarce,no_W,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.018431906000614617
901037,linear,aligned,scarce,no_WK,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.018298386000424216
901037,linear,aligned,scarce,retuned_zero,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.018983120999905623
901037,linear,aligned,scarce,rewired,0.0033316826002636234,0.38123223330086997,0.007287589960641553,0.001010856603359454,0.03125,0,0.018104812000046877
