candidate,kind,replicate,mean_selection_loss,train_steps,train_seconds,actor_parameters
sac-09,sac,2,106.43552656712968,32768,61.44363131,11736
sac-10,sac,0,103.21462021023036,32768,66.40617374199985,11736
sac-10,sac,1,107.91289187121828,32768,66.76167122900006,11736
sac-10,sac,2,105.56797385685142,32768,66.63292176200002,11736
sac-11,sac,0,104.41653086358889,32768,65.72316849800006,11736
sac-11,sac,1,111.27364762665498,32768,65.52886322200015,11736
sac-11,sac,2,104.25207519210464,32768,65.58918867600005,11736
sac-12,sac,0,104.35694050563808,32768,67.19092957200019,11736
sac-12,sac,1,104.65964947123494,32768,67.26595589800013,11736
sac-12,sac,2,104.50432214880776,32768,66.87780432399995,11736
sac-13,sac,0,103.36510113207623,32768,61.29966516800005,11736
sac-13,sac,1,107.48954088044248,32768,61.57931991500004,11736
sac-13,sac,2,106.08707264631651,32768,61.79446037999992,11736
sac-14,sac,0,68.96174309631655,32768,66.09279031400001,11736
sac-14,sac,1,103.25378896233934,32768,66.25111909799989,11736
sac-14,sac,2,102.88822743679502,32768,65.6494472469999,11736
sac-15,sac,0,103.06517333120833,32768,47.52751120999994,11736
sac-15,sac,1,97.64916858573754,32768,47.841709778999984,11736
sac-15,sac,2,104.7335561704434,32768,48.05973212399999,11736
sac-16,sac,0,34.73316926136451,32768,61.812722603,11736
sac-16,sac,1,110.0158979907218,32768,61.93176556900005,11736
sac-16,sac,2,86.37392829195899,32768,62.08319079600005,11736
sac-17,sac,0,106.22554347371785,32768,65.75125147400001,11736
sac-17,sac,1,105.98851642830091,32768,65.69308008799999,11736
sac-17,sac,2,108.72920585771823,32768,66.10030576899999,11736
sac-18,sac,0,103.29199816390043,32768,66.01245830199991,11736
sac-18,sac,1,107.10047949679817,32768,65.77688145999991,11736
sac-18,sac,2,107.6023249377807,32768,65.75964803200009,11736
sac-19,sac,0,104.52511626233657,32768,67.44620835899991,11736
sac-19,sac,1,105.01476605912707,32768,67.04972773399982,11736
sac-19,sac,2,103.20333888591267,32768,66.85273665399995,11736
sac-20,sac,0,102.11778079442188,32768,62.41260279000005,11736
sac-20,sac,1,107.93410335237986,32768,65.08272080200004,11736
sac-20,sac,2,105.14743621254131,32768,62.00866643100005,11736
sac-21,sac,0,105.34772925368613,32768,67.00712449999992,11736
sac-21,sac,1,103.17095303337716,32768,67.19250520300011,11736
sac-21,sac,2,107.86426945123823,32768,67.07681485900002,11736
sac-22,sac,0,107.46332342860599,32768,32.74642126900005,11736
sac-22,sac,1,96.38243069375555,32768,32.961307594000004,11736
sac-22,sac,2,104.02490225617981,32768,33.62108766799997,11736
sac-23,sac,0,103.65281729679555,32768,47.749478218000036,11736
sac-23,sac,1,108.2191843484632,32768,47.74634439399995,11736
sac-23,sac,2,108.4702769216771,32768,49.22872632899998,11736
sac-24,sac,0,27.378071575994706,32768,66.87958459299989,11736
sac-24,sac,1,103.89993580182396,32768,66.12277311100001,11736
sac-24,sac,2,106.65660224917035,32768,66.26354362999996,11736
sac-25,sac,0,104.89865953309669,32768,64.60491253100008,11736
sac-25,sac,1,105.11311045956488,32768,64.57713699500005,11736
sac-25,sac,2,104.35136364766451,32768,64.92826837999996,11736
sac-26,sac,0,104.41773791100262,32768,68.3827135280003,11736
sac-26,sac,1,105.91003588349041,32768,68.75327013199967,11736
