seed,variant,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
1015,reset_freeze_capacity_recall,0.051924067815800286,0.0026932090253181454,11.941131398636363,0,0.8,0,5,1.0,0.009598088222818778,8.630876568599182e-05,0.5326784881774004,0.9847079799908043,0.9679244966434469,0.9855009135798123,True
1015,unit_confidence_recall,0.043691805366378185,0.001906074062951792,12.319297711908883,0,0.8,0,5,1.0,0.003252588474955654,2.2345133645469854e-07,0.5498680170615066,0.9882802113986024,0.9660955268250752,0.9857901416798711,True
1015,zero_noise,0.04799039829267885,0.002303078328289953,11.985746702127054,0,0.6,0,5,1.0,0.009597882219698442,8.654003063680735e-05,0.5354165397087417,0.9870967504771487,0.9680753763681288,0.985652466487811,True
1015,gate_small_action_updates,0.04813858830086426,0.0023144238903784237,11.98328862631894,0,0.6,0,5,1.0,0.009647355532596203,8.641612890550512e-05,0.5345961154577159,0.9870013089142865,0.9680944072381443,0.9856616397168395,True
1016,dual_pole,0.06108397299378102,0.0037282305093484136,12.989644572306347,0,1.2,0,5,1.0,0.013831247028081157,9.455074388491327e-05,0.5260305322616813,0.9790590026891666,0.9663414057631338,0.9874286053376132,True
1016,recurrent,0.059724260683492014,0.003563966066833154,13.101248104623934,0,1.4,0,5,1.0,0.01230490915054851,9.434368499915855e-05,0.5306154825478375,0.979405274309914,0.9654808056133849,0.9763413343635109,True
1016,no_self_model,0.05077786154900468,0.0025753699761333322,13.173557154068675,0,0.6,0,5,1.0,0.011107215825608908,9.340484824813744e-05,0.5336430456235625,0.9855762545667855,0.9652767914186798,0.9862944104470546,True
1016,reset_capacity_recall,0.05681627846394099,0.003225068251135528,13.04372433196073,0,0.8,0,5,1.0,0.011096165616512381,9.370945261177123e-05,0.5282684163067761,0.9820717178898271,0.9660041634753508,0.987136031345862,True
1016,reset_gain_only_recall,0.05722670755392619,0.0032718748101060366,13.038022483673396,0,0.8,0,5,1.0,0.01109381518029366,9.373446045790242e-05,0.528032372990061,0.9817959247535919,0.966043214164598,0.987156175867348,True
1016,freeze_capacity_recall,0.07131215186368968,0.005082401756073382,12.87867267336892,0,0.5,1,5,0.8,0.023632832810361576,0.0018989244971453912,0.521442280752585,0.9707406746739787,0.9670945639002498,0.9868631817474058,False
1016,reset_freeze_capacity_recall,0.05193656052888225,0.0026943850722136935,13.14104437348523,0,0.6,0,5,1.0,0.011108149523319203,9.362140919707396e-05,0.5322955649008819,0.9849843879317842,0.9652484078003534,0.9865632639135578,True
1016,unit_confidence_recall,0.04528137970066482,0.002047382100239225,13.505274462180898,0,0.8,0,5,1.0,0.0038404606668775076,2.4616070327154917e-07,0.5473669403986845,0.9875891925412363,0.963877132299722,0.9871012120375434,True
1016,zero_noise,0.050723738976654734,0.0025728976957718024,13.173557154068675,0,0.6,0,5,1.0,0.011090815492730288,9.4407310786659e-05,0.5344551451053452,0.9856118224965943,0.9652767914186798,0.9862944104470546,True
1016,gate_small_action_updates,0.050739124006162886,0.0025714374575562192,13.176407784208996,0,0.6,0,5,1.0,0.011107447521492553,9.372569412178667e-05,0.5337586757446288,0.9855849750163944,0.9652480673902847,0.9862786974126738,True
1017,dual_pole,0.0638575379300253,0.004074761234721092,13.118320656569539,0,1.4,0,5,1.0,0.014048550126471741,9.348229757889176e-05,0.5235285538185165,0.9771643890102388,0.9607027990440016,0.9883526299848949,True
1017,recurrent,0.05893579808112898,0.00347040437969608,13.301947346871382,0,1.2,0,5,1.0,0.011453424970105562,9.272206243809014e-05,0.5309928407172729,0.9799580270850797,0.9595580378629256,0.9774678523001321,True
1017,no_self_model,0.05048134394146606,0.0025453421703730654,13.369951384837904,0,0.6,0,5,1.0,0.010463249315491686,9.12066557467393e-05,0.5337990517463014,0.985738133623739,0.9592637482093629,0.9867207368573582,True
1017,reset_capacity_recall,0.05860206780245952,0.003431178434960536,13.187502456219363,0,1.0,0,5,1.0,0.010455291228987739,9.234122953820306e-05,0.5263523290464092,0.9810091377767156,0.9602534396113848,0.9879528591654742,True
1017,reset_gain_only_recall,0.058979412405428006,0.0034755471719260266,13.181926850329907,0,1.0,0,5,1.0,0.010454164573526895,9.24625000375377e-05,0.526124719989163,0.9807497029019148,0.9602908667658395,0.9879721839686063,True
1017,freeze_capacity_recall,0.07814942703741726,0.006104309030513074,12.933136198392818,0,1.0,1,5,0.8,0.02707442322420722,0.0024580869632640934,0.5159747695970244,0.9648882158189739,0.9620264029568207,0.9878526247213424,False
1017,reset_freeze_capacity_recall,0.05426646779472134,0.0029418256111520013,13.2791698616825,0,0.8,0,5,1.0,0.010464151528287429,9.160129297976856e-05,0.5300938904403252,0.9836610649465781,0.9595239364229268,0.9874251855993571,True
1017,unit_confidence_recall,0.04903640021995072,0.002401544630767656,13.630100022327554,0,1.0,0,5,1.0,0.0041024294424760145,3.0295117243173996e-07,0.5444175066025259,0.9854914436536806,0.9578429640167455,0.9881372710591362,True
1017,zero_noise,0.05046370006474631,0.002546585024224677,13.369951384837904,0,0.6,0,5,1.0,0.01046047687786391,9.440730460344001e-05,0.5345175393543471,0.9857556318087154,0.9592637482093629,0.9867207368573582,True
1017,gate_small_action_updates,0.0505053834072587,0.0025477698373506754,13.370005938949655,0,0.6,0,5,1.0,0.010485635538939116,9.246343198207431e-05,0.5338014212623087,0.9857214572616456,0.959263273122169,0.9867203054894961,True
1018,dual_pole,0.05751513129490281,0.0033048527134309537,14.604060244017182,0,0.8,0,5,1.0,0.012403179765445208,0.0001048032837499839,0.5318491181783193,0.981197343331101,0.968514650901651,0.9896699722885677,True
